GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	62920	21891407	3	2	1
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	21891873	72274390	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	72275051	72374994	11	6	5
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	72374995	152124032	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	152132022	152187297	2	1	1
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	152187485	152583230	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	152583291	152614064	0	0	0
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	152614100	196691131	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	196691334	199586593	5	3	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr1	199587748	248930189	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	12784	36253614	6	4	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	36254187	41906372	7	5	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	41906402	47499397	6	4	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	47503357	141026194	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	141032591	141053937	1	1	0
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	141054195	141263078	2	2	0
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	141264223	144565145	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	144567410	146943903	5	3	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	146944327	166473090	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	166475859	166647835	7	5	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	166649519	186698043	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	186702489	190639236	5	3	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	190639338	197866506	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	197870988	199996017	5	3	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	199998698	230736001	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	230736984	231012604	3	2	1
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr2	231013237	242147305	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr3	20930	48979196	2	2	0
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr3	48982641	62798104	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr3	62800063	62824749	3	2	1
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr3	62825041	116569952	4	2	2
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr3	116570247	116642813	2	1	1
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr3	116643304	116692426	3	3	0
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr3	116693351	116849989	0	0	0
c602dbe2-b3bc-5aae-a3dd-43282ab2a939	chr3	116853733	117030171	2	2	0
