GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	62920	72256381	4	2	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	72256901	72346221	15	8	7
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	72346757	121705338	4	2	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	143541857	185412281	4	3	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	185412459	185473524	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	185473635	192609633	4	3	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	192609862	192772039	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	192772601	195024559	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	195027353	203686142	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr1	203686615	248930189	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	12784	52527423	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	52527590	52554404	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	52560811	80881236	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	80881642	88810258	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	88810747	89984670	14	9	5
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	89984682	105968098	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	105970444	106303476	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	106307694	108983150	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	108983214	118134420	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	118134689	136918751	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	136918868	162251962	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	162252336	165496380	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	165496982	168937773	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	168937921	168961274	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	168961525	187187636	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr2	187188566	242147305	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr3	20930	24383885	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr3	24384402	71278171	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr3	71281432	94261341	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr3	94263431	116817617	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr3	116817713	117009337	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr3	117009701	151401938	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr3	151402074	152612120	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr3	152613523	198169247	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	68929	11752951	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	11753027	17295256	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	17298471	18206999	7	6	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	18207374	19186914	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	19187678	19997847	9	7	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	19998286	22401295	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	22402099	26848842	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	26850816	29643378	4	2	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	29644207	32620513	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	32620803	35694812	5	4	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	35695274	36493396	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	36494251	49146817	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	49146905	67339119	4	2	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	67341360	124091835	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	124092355	134496028	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	134496159	135825269	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	135825758	182660832	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	182661543	186400123	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr4	186401866	190106768	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	15532	5451850	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	5452360	9451166	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	9453567	18583177	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	18583736	25720326	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	25721240	40606809	3	3	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	40607766	44067564	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	44071132	53823579	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	53825769	165337502	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	165341742	165536318	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	165537206	166106854	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	166108356	166282817	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr5	166282917	181363319	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	149661	69231063	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	69231195	71038668	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	71039053	72478572	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	72479056	87282207	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	87282754	87351857	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	87351935	90384723	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	90388892	90397299	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	90398672	103286954	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	103290101	103320903	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	103320921	109501250	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	109501634	143714143	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	143714220	148154133	4	3	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	148154255	167993096	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr6	167993740	170741917	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	43259	10160602	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	10160793	10428382	9	8	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	10436750	38271122	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	38271497	38304547	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	38304886	40111572	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	40115475	42595712	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	42596258	43797154	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	43799885	45060987	5	3	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	45063688	50318900	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	50321430	52006626	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	52006792	54751452	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	54756657	55255405	10	8	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	55256144	55406958	5	3	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	55407387	56082327	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	56087868	56877397	8	7	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	56886702	64039944	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	64041402	109793741	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	109797035	109813853	0	0	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr7	109813925	159334314	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	81254	9109595	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	9109924	13491765	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	13491850	15867412	4	2	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	15875380	27548607	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	27549339	29556679	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	29562047	41560616	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	41560644	41634535	4	3	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	41643520	43339912	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	43341191	131650107	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	131651117	132560810	6	4	2
ef282d52-f5c2-555b-8608-a75131da69bd	chr8	132562555	145072769	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr9	46587	34801075	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr9	34804122	36138694	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr9	36139780	71356167	2	1	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr9	71356183	110058098	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr9	110058320	110128353	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr9	110129138	138200944	3	2	1
ef282d52-f5c2-555b-8608-a75131da69bd	chr10	45792	3964997	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr10	3965071	4699128	2	2	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr10	4701662	7181621	4	4	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr10	7182970	10197180	3	3	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr10	10197962	11076826	1	1	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr10	11080652	11295329	4	4	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr10	11295355	12273159	3	3	0
ef282d52-f5c2-555b-8608-a75131da69bd	chr10	12275911	22194791	2	2	0
