GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	62920	32995204	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	32995270	39541043	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	39541207	43693760	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	43693832	46661499	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	46663928	67955404	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	67955506	75245106	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	75245818	75249898	2	1	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	75251240	96512828	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	96513070	99192804	5	3	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	99193049	102627810	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	102632457	108151909	5	3	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	108152272	114041111	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	114043965	121705338	5	3	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	143541857	154453621	7	4	3
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	154453788	192612201	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	192614499	192620372	1	1	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	192626359	193486745	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	193486833	193537115	2	1	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	193541697	205153401	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	205154317	235767503	2	2	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	235767544	248774730	1	1	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr1	248774991	248930189	0	0	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	12784	301380	0	0	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	305203	3483995	1	1	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	3485983	29164410	2	1	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	29164706	36565202	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	36573325	36586167	1	1	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	36586191	38570232	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	38571170	41773808	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	41774412	48997710	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	48997864	81405879	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	81407691	88686875	5	3	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	88690748	100716674	6	3	3
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	100718557	106683782	5	3	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	106683995	108320330	6	3	3
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	108320434	146104517	5	3	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	146106836	146109366	0	0	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	146120238	147997256	5	3	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	147997494	154370165	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	154375897	154401022	6	3	3
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	154405807	162103238	4	2	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	162104094	166646858	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	166647835	166659331	1	1	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	166660660	170809199	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	170810487	200447606	2	1	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	200447940	204628203	3	2	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	204636533	213853100	2	1	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	213853612	220044758	4	3	1
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	220046914	225573613	3	3	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	225581401	225863182	5	5	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	225864180	238072660	3	3	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	238072844	241976006	1	1	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr2	241976372	242147305	0	0	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr3	20930	336956	0	0	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr3	337801	5681670	1	1	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr3	5681734	20739097	2	2	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr3	20739268	84823831	3	3	0
d05149f9-5345-5efc-ae5a-49d3119054d2	chr3	84830880	85105845	6	4	2
d05149f9-5345-5efc-ae5a-49d3119054d2	chr3	85108563	87970159	5	4	1
