GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	62920	23506662	4	3	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	23507778	65382392	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	65386381	65527938	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	65530018	119791105	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	119795985	171249816	7	4	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	171253876	212863902	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	212864319	212920308	2	1	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	212921215	248238834	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr1	248241030	248930189	3	2	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr2	12784	10803602	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr2	10803756	10816908	2	1	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr2	10817486	79281377	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr2	79281805	79364680	9	5	4
c0617670-3759-5394-a483-4c059e4fd2f2	chr2	79369603	216564503	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr2	216564514	242147305	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	20930	26527050	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	26530389	28286730	7	4	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	28287092	28958698	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	28963389	29252288	1	1	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	29253672	29258559	3	3	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	29259819	98993738	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	98994421	99021685	9	5	4
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	99021812	116751988	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	116753726	116896296	2	2	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	116896339	117093474	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	117100268	117285954	2	2	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	117286094	195028190	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr3	195030587	198169247	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	68929	3233253	2	1	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	3233791	7383441	3	2	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	7384296	9765125	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	9765556	10491263	3	2	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	10491990	26964655	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	26965284	29427853	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	29428924	48990774	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	48991360	63364439	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	63373307	127011730	3	2	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	127013894	129567203	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	129567923	139771691	10	5	5
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	139773905	139892215	18	14	4
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	139894017	144282487	24	21	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	144283181	150249787	21	18	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	150252923	154734365	16	13	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	154739354	158148950	20	16	4
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	158149191	164147582	18	15	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	164148204	166502576	8	4	4
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	166504164	171265209	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr4	171270900	190106768	3	2	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	15532	1013154	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	1013579	52301309	8	4	4
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	52309220	56905991	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	56910665	58025819	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	58030200	58042530	22	22	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	58044246	65659260	3	2	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	65660601	67456259	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	67461000	76662097	2	2	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	76663238	77281775	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	77282711	80214149	2	2	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	80214155	81895999	3	2	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	81896105	145829881	2	2	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	145831002	162497599	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	162497657	168171267	2	2	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr5	168173213	181363319	3	3	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	149661	858970	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	859115	28205376	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	28205441	33305078	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	33308993	33606858	4	3	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	33607232	34548811	3	3	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	34548907	34561008	13	13	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	34561400	34936994	2	1	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	34937422	35061014	2	2	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	35061364	35170093	2	1	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	35171894	46897523	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	46898021	47057059	7	4	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	47057094	74352880	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	74353051	75863255	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	75864026	85712516	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	85713634	101112468	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	101118320	101399330	1	1	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	101402713	157988986	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr6	157989345	170741917	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr7	43259	112772941	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr7	112775646	159334314	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr8	81254	17700160	3	3	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr8	17700511	23554285	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr8	23558142	23598116	8	4	4
c0617670-3759-5394-a483-4c059e4fd2f2	chr8	23599435	39125091	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr8	39125476	145072769	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr9	46587	113978355	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr9	113978906	114007543	12	6	6
c0617670-3759-5394-a483-4c059e4fd2f2	chr9	114009558	133721141	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr9	133721245	133753192	14	7	7
c0617670-3759-5394-a483-4c059e4fd2f2	chr9	133753594	137156786	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr9	137190033	138200944	4	3	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr10	45792	79175191	3	3	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr10	79175326	79449542	5	4	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr10	79452430	84599521	3	3	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr10	84599758	86087202	6	6	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr10	86097765	87564906	3	3	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr10	87567901	87989346	6	6	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr10	87989698	133654968	3	3	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr11	198510	61140648	6	3	3
c0617670-3759-5394-a483-4c059e4fd2f2	chr11	61140996	95173148	4	2	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr11	95175494	95251402	2	1	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr11	95251753	107689258	5	3	2
c0617670-3759-5394-a483-4c059e4fd2f2	chr11	107690583	110814503	3	2	1
c0617670-3759-5394-a483-4c059e4fd2f2	chr11	110814785	110826741	0	0	0
c0617670-3759-5394-a483-4c059e4fd2f2	chr11	110826881	132248998	4	3	1
