GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
06974a6a-0b86-5913-8595-9863ab28aed5	chr1	62920	19482572	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr1	19483264	99732503	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr1	99733243	99756922	4	2	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr1	99757618	192609862	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr1	192609876	192772039	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr1	192772601	248930189	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	12784	564079	12	9	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	565623	637830	17	14	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	638190	1052718	12	9	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	1053857	1342189	18	15	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	1348079	1912805	14	11	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	1912858	4799488	8	4	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	4799527	4885470	13	10	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	4886230	5125708	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	5125873	5335105	12	9	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	5336199	6543007	8	4	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	6546217	6728394	15	11	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	6729887	7827797	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	7828144	9906730	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	9907367	11067175	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	11067198	11780820	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	11782729	12533999	14	11	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	12534966	13020222	12	9	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	13020370	13648283	10	7	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	13649058	14095031	8	4	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	14095127	14146803	16	11	5
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	14146919	15863592	8	4	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	15864752	27554140	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	27556651	34227565	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	34228228	34235474	9	5	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	34236339	38139236	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	38139941	53562009	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	53562119	58195501	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	58196177	79376195	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	79377915	79777503	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	79780069	79877827	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	79878243	83809752	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	83816636	84785198	8	5	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	84787651	84842949	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	84844851	94751017	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	94751090	95483249	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	95486051	96275307	6	4	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	96278328	97049417	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	97051535	97115744	6	6	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	97118174	98353956	11	8	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	98354428	99167908	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	99168502	99382441	8	6	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	99382634	99857648	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	99859749	100726556	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	100726925	102839799	8	4	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	102845209	102969206	15	11	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	102969429	103270931	8	4	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	103273670	106529199	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	106535197	106968961	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	106970219	108155765	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	108156111	108198717	6	4	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	108199645	108440654	10	7	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	108443825	109350935	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	109352259	112312708	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	112313312	113861743	10	7	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	113862367	114010153	14	11	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	114020774	115061445	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	115063604	115781441	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	115783778	115927065	8	5	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	115933630	116143635	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	116143843	116708153	10	7	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	116712422	118566422	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	118569575	118634944	9	6	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	118639786	118918011	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	118918453	119897913	8	5	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	119903425	120049456	8	7	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	120053170	120792302	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	120794031	121556697	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	121558470	121600415	6	5	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	121613862	126168664	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	126171361	127267220	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	127271927	142552352	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	142552650	142854846	2	2	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	142855167	174756207	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	174756754	174789658	4	4	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	174790079	185165683	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	185169475	185526775	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	185529879	212425811	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	212432139	212766297	6	6	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr2	212768426	242147305	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr3	20930	116864597	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr3	116865149	116902509	1	1	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr3	116906944	117147171	0	0	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr3	117149316	196793657	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr3	196803279	198169247	7	4	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	68929	17080279	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	17083812	24992889	5	5	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	24993396	25805786	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	25811448	41854054	5	5	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	41859626	42255224	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	42262345	43146936	5	5	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	43147945	43333435	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	43336864	43461103	4	4	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	43461296	43939058	8	7	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	43941957	44190233	8	6	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	44191722	45177866	3	3	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	45178705	47029476	5	4	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	47031718	47223324	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	47224187	48581948	5	4	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	48586806	52317844	8	5	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	52319922	68884032	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	68884070	94523952	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	94524640	95677651	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	95677933	95689439	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	95692683	116801364	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	116806185	117424719	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	117430037	118596030	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	118606176	122339394	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	122339964	123557716	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	123557804	127256709	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	127260287	131463948	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	131464053	133549397	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	133549793	134126200	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	134136099	155236279	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	155238259	157072867	8	6	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	157072890	159970423	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	159970915	160228955	9	7	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	160229790	160952848	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	160958866	160963756	0	0	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	160963767	183602465	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	183602812	185030816	9	5	4
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	185032315	187186870	7	5	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr4	187187342	190106768	8	6	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr5	15532	41595002	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr5	41599347	41644638	4	2	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr5	41645449	165337502	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr5	165341742	165549880	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr5	165550671	166326249	0	0	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr5	166327022	166491619	2	2	0
06974a6a-0b86-5913-8595-9863ab28aed5	chr5	166493051	181363319	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	149661	31383258	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	31383465	31517397	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	31526111	58400901	6	3	3
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	58401230	60910478	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	60910849	64029523	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	64034814	64506564	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	64507111	65845237	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	65845790	66337420	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	66338664	85231443	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	85233072	86147780	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	86152123	87620224	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	87621340	92130656	4	3	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	92131124	159142516	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	159146813	159159542	5	3	2
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	159159969	163572312	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	163574740	163868330	6	5	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	163868381	164219140	3	2	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	164219381	164254373	6	5	1
06974a6a-0b86-5913-8595-9863ab28aed5	chr6	164257306	164305876	3	2	1
