GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	62920	17937326	4	3	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	17938244	25003500	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	25005094	48354599	4	3	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	48354622	98444817	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	98445432	121705338	5	4	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	143541857	151722795	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	151726997	234602243	4	3	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	234605134	248703037	2	1	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr1	248703602	248930189	5	4	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	12784	472322	3	3	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	473038	23323225	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	23325743	50781614	6	4	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	50782094	53111223	7	5	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	53111472	88836539	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	88836615	89118119	20	20	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	89119438	207641892	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	207647358	217891323	8	4	4
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	217893496	218307761	7	5	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	218311016	233963628	8	4	4
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	233963868	234041411	8	6	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	234041424	237477123	8	4	4
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	237481691	237674120	8	6	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr2	237675337	242147305	7	4	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	20930	30890881	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	30891097	30915242	8	6	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	30915420	31661415	2	2	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	31661429	31691212	7	5	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	31691251	32095507	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	32100475	32177333	1	1	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	32177454	90208684	2	2	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	90209779	90453712	2	1	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	93800634	116688502	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	116690034	116758198	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	116759282	116973397	2	2	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	116975969	130057833	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	130062033	130087393	0	0	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	130088081	162795361	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	162795671	162898127	1	1	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr3	162906054	198169247	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	68929	33012369	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	33012502	34940029	3	3	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	34940253	44216613	4	3	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	44218048	47100898	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	47100976	47540439	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	47542930	51834605	6	4	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	51837099	52810474	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	52822617	54500464	7	5	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	54502535	60635552	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	60638258	63626452	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	63627157	64404404	4	4	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	64404554	66173294	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	66174082	68478894	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	68494770	68639397	13	13	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	68640616	97979353	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	97979530	101152677	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	101155825	125871512	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	125872168	127235709	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	127236474	129955971	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	129960086	131102121	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	131103329	143247022	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	143249096	144065710	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	144068850	157197449	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	157199100	158124814	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	158125126	169634585	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	169634773	170634206	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	170644295	176244494	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	176245057	177734382	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr4	177734414	190106768	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr5	15532	2698810	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr5	2698996	50146124	7	4	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr5	50151472	181363319	2	2	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr6	149661	101253162	4	4	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr6	101253722	101521454	6	6	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr6	101522052	113908759	4	4	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr6	113908993	113914840	7	7	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr6	113917836	170741917	4	4	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	43259	2408415	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	2408682	52000581	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	52003812	52006792	12	8	4
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	52010307	80282184	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	80285141	83794524	7	5	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	83794792	102065696	6	4	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	102068826	146828770	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	146831221	147079870	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	147080512	147202684	7	5	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	147205780	147310572	4	4	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr7	147310620	159334314	6	3	3
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	81254	82850474	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	82850587	83654506	5	4	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	83660743	86034347	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	86035140	110544798	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	110544913	112326557	5	4	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	112327862	113401141	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	113401182	113931451	4	4	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	113934181	140711719	4	2	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr8	140711886	145072769	3	2	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	46587	2311415	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	2313264	3345496	7	5	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	3345524	15351117	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	15351349	15980322	5	4	1
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	15994242	21012658	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	21012746	21086312	2	2	0
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	21088720	21801531	7	5	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	21806565	36928929	5	3	2
c811ef36-4fd4-575e-91fe-7e60799034b6	chr9	36930539	41741113	7	5	2
