GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	62920	266187	4	4	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	599171	1229813	3	2	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	1229830	2518272	7	4	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	2518955	3769754	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	3775287	4508034	7	4	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	4509462	6176837	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	6183275	9922525	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	9924821	9961689	4	2	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	9963137	10137554	9	9	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	10139302	10527165	5	3	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	10529779	10566204	11	7	4
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	10566865	10816543	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	10820175	12774437	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	12775725	13589507	5	3	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	13589738	13850255	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	13853658	14071308	5	3	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	14071656	15466096	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	15466881	16973232	6	3	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	16973488	17174319	9	6	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	17175225	17722889	6	3	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	17723943	17800901	14	11	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	17805774	18361389	5	3	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	18361584	18524557	9	6	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	18526339	22873760	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	22877690	23526407	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	23537963	27117363	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	27118593	31678752	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	31679422	34617464	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	34622124	39328434	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	39339630	41076092	5	3	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	41076832	42442431	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	42442548	50587561	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	50588335	50757541	4	4	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	50767700	52714320	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	52714893	53068685	4	4	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	53068916	56188519	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	56188587	56726251	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	56729488	61041184	10	7	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	61044947	61818819	5	3	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	61818832	62386262	7	4	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	62386351	62711834	5	3	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	62712025	63589899	8	4	4
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	63596558	65735283	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	65736013	69761252	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	69764125	69870923	6	3	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	69871353	71366101	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	71371696	73857381	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	73857604	80326449	10	7	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	80326818	80624201	16	13	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	80624416	83000422	13	10	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	83001995	84412545	11	8	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	84413332	85588424	10	7	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	85589041	92214814	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	92215463	93854102	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	93857464	95406816	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	95407153	95517738	6	3	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	95518600	100250611	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	100252204	103893707	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	103895280	104862912	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	104867937	105202115	5	3	2
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	105204036	107630997	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	107633387	117108741	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	117110758	121705338	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	143541857	150176837	7	4	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	150177309	150789296	10	7	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	150789421	151122219	6	3	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	151126839	151772452	4	3	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	151774941	152564045	5	4	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	152564308	153124059	13	10	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	153124764	153220702	5	4	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	153221008	157967054	6	3	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	157971241	158287641	5	4	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	158288048	161710222	7	4	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	161710468	162666478	6	3	3
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	162669467	162942941	6	5	1
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	162945926	163027550	18	13	5
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	163033592	163312721	10	5	5
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	163316975	163413602	13	9	4
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	163414403	165394974	4	4	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	165395550	165838575	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	165843588	170984363	4	4	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	170984411	171150237	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	171151508	172709727	2	2	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	172709989	172857268	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	172857372	175671267	2	2	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	175671520	180182024	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	180182531	182146143	2	2	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	182146652	185807555	3	3	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	185810907	243300371	2	2	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	243304309	243971086	10	10	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr1	243974311	248930189	2	2	0
76a6e0be-98c4-54c8-b4e0-76f29ac1ab04	chr2	12784	6999081	5	3	2
